Station;SampleSiteID;SampleDate;Station depth (m);Temperature (ºC);q_Temperature;Salinity (psu);q_Salinity;ChlA (μg/l);q_ChlA;Seccidepth (m)
B8;16;1980-03-26 10:00:00;;;0;;0;;0;
B8;16;1980-03-26 10:00:00;;;0;;0;;0;
B8;16;1980-03-26 10:00:00;;;0;;0;;0;
B8;16;1980-03-26 10:00:00;;;0;;0;;0;
B8;16;1980-03-26 10:00:00;;;0;;0;;0;
B8;16;1980-03-26 10:00:00;;;0;;0;;0;
B8;16;1980-03-26 10:00:00;;;0;;0;;0;
B8;17;1980-04-11 09:00:00;;;0;;0;;0;
B8;17;1980-04-11 09:00:00;;;0;;0;;0;
B8;17;1980-04-11 09:00:00;;;0;;0;;0;
B8;17;1980-04-11 09:00:00;;;0;;0;;0;
B8;17;1980-04-11 09:00:00;;;0;;0;;0;
B8;17;1980-04-11 09:00:00;;;0;;0;;0;
B8;17;1980-04-11 09:00:00;;;0;;0;;0;
B8;17;1980-04-11 09:00:00;;;0;;0;;0;
B8;17;1980-04-11 09:00:00;;;0;;0;;0;
B8;17;1980-04-11 09:00:00;;;0;;0;;0;
B8;17;1980-04-11 09:00:00;;;0;;0;;0;
B8;17;1980-04-11 09:00:00;;;0;;0;;0;
B8;18;1980-05-06 10:00:00;;;0;;0;;0;2,6
B8;18;1980-05-06 10:00:00;;;0;;0;;0;2,6
B8;18;1980-05-06 10:00:00;;;0;;0;;0;2,6
B8;18;1980-05-06 10:00:00;;;0;;0;;0;2,6
B8;18;1980-05-06 10:00:00;;;0;;0;;0;2,6
B8;18;1980-05-06 10:00:00;;;0;;0;;0;2,6
B8;18;1980-05-06 10:00:00;;;0;;0;;0;2,6
B8;18;1980-05-06 10:00:00;;;0;;0;;0;2,6
B8;18;1980-05-06 10:00:00;;;0;;0;;0;2,6
B8;18;1980-05-06 10:00:00;;;0;;0;;0;2,6
B8;18;1980-05-06 10:00:00;;;0;;0;;0;2,6
B8;18;1980-05-06 10:00:00;;;0;;0;;0;2,6
B8;19;1980-05-14 10:00:00;;;0;;0;;0;3,0
B8;19;1980-05-14 10:00:00;;;0;;0;;0;3,0
B8;19;1980-05-14 10:00:00;;;0;;0;;0;3,0
B8;19;1980-05-14 10:00:00;;;0;;0;;0;3,0
B8;19;1980-05-14 10:00:00;;;0;;0;;0;3,0
B8;19;1980-05-14 10:00:00;;;0;;0;;0;3,0
B8;19;1980-05-14 10:00:00;;;0;;0;;0;3,0
B8;19;1980-05-14 10:00:00;;;0;;0;;0;3,0
B8;19;1980-05-14 10:00:00;;;0;;0;;0;3,0
B8;19;1980-05-14 10:00:00;;;0;;0;;0;3,0
B8;19;1980-05-14 10:00:00;;;0;;0;;0;3,0
B8;19;1980-05-14 10:00:00;;;0;;0;;0;3,0
B8;20;1980-05-28 10:30:00;;;0;;0;;0;2,6
B8;20;1980-05-28 10:30:00;;;0;;0;;0;2,6
B8;20;1980-05-28 10:30:00;;;0;;0;;0;2,6
B8;20;1980-05-28 10:30:00;;;0;;0;;0;2,6
B8;20;1980-05-28 10:30:00;;;0;;0;;0;2,6
B8;20;1980-05-28 10:30:00;;;0;;0;;0;2,6
B8;20;1980-05-28 10:30:00;;;0;;0;;0;2,6
B8;20;1980-05-28 10:30:00;;;0;;0;;0;2,6
B8;20;1980-05-28 10:30:00;;;0;;0;;0;2,6
B8;20;1980-05-28 10:30:00;;;0;;0;;0;2,6
B8;20;1980-05-28 10:30:00;;;0;;0;;0;2,6
B8;20;1980-05-28 10:30:00;;;0;;0;;0;2,6
B8;21;1980-06-10 10:15:00;;;0;;0;;0;3,0
B8;21;1980-06-10 10:15:00;;;0;;0;;0;3,0
B8;21;1980-06-10 10:15:00;;;0;;0;;0;3,0
B8;21;1980-06-10 10:15:00;;;0;;0;;0;3,0
B8;21;1980-06-10 10:15:00;;;0;;0;;0;3,0
B8;21;1980-06-10 10:15:00;;;0;;0;;0;3,0
B8;21;1980-06-10 10:15:00;;;0;;0;;0;3,0
B8;21;1980-06-10 10:15:00;;;0;;0;;0;3,0
B8;21;1980-06-10 10:15:00;;;0;;0;;0;3,0
B8;21;1980-06-10 10:15:00;;;0;;0;;0;3,0
B8;21;1980-06-10 10:15:00;;;0;;0;;0;3,0
B8;21;1980-06-10 10:15:00;;;0;;0;;0;3,0
B8;22;1980-06-25 10:30:00;;;0;;0;;0;4,0
B8;22;1980-06-25 10:30:00;;;0;;0;;0;4,0
B8;22;1980-06-25 10:30:00;;;0;;0;;0;4,0
B8;22;1980-06-25 10:30:00;;;0;;0;;0;4,0
B8;22;1980-06-25 10:30:00;;;0;;0;;0;4,0
B8;22;1980-06-25 10:30:00;;;0;;0;;0;4,0
B8;22;1980-06-25 10:30:00;;;0;;0;;0;4,0
B8;22;1980-06-25 10:30:00;;;0;;0;;0;4,0
B8;22;1980-06-25 10:30:00;;;0;;0;;0;4,0
B8;22;1980-06-25 10:30:00;;;0;;0;;0;4,0
B8;22;1980-06-25 10:30:00;;;0;;0;;0;4,0
B8;22;1980-06-25 10:30:00;;;0;;0;;0;4,0
B8;23;1980-07-09 10:30:00;;;0;;0;;0;6,0
B8;23;1980-07-09 10:30:00;;;0;;0;;0;6,0
B8;23;1980-07-09 10:30:00;;;0;;0;;0;6,0
B8;23;1980-07-09 10:30:00;;;0;;0;;0;6,0
B8;23;1980-07-09 10:30:00;;;0;;0;;0;6,0
B8;23;1980-07-09 10:30:00;;;0;;0;;0;6,0
B8;23;1980-07-09 10:30:00;;;0;;0;;0;6,0
B8;23;1980-07-09 10:30:00;;;0;;0;;0;6,0
B8;23;1980-07-09 10:30:00;;;0;;0;;0;6,0
B8;23;1980-07-09 10:30:00;;;0;;0;;0;6,0
B8;23;1980-07-09 10:30:00;;;0;;0;;0;6,0
B8;23;1980-07-09 10:30:00;;;0;;0;;0;6,0
B8;24;1980-07-22 10:15:00;;;0;;0;;0;6,0
B8;24;1980-07-22 10:15:00;;;0;;0;;0;6,0
B8;24;1980-07-22 10:15:00;;;0;;0;;0;6,0
B8;24;1980-07-22 10:15:00;;;0;;0;;0;6,0
B8;24;1980-07-22 10:15:00;;;0;;0;;0;6,0
B8;24;1980-07-22 10:15:00;;;0;;0;;0;6,0
B8;24;1980-07-22 10:15:00;;;0;;0;;0;6,0
B8;24;1980-07-22 10:15:00;;;0;;0;;0;6,0
B8;24;1980-07-22 10:15:00;;;0;;0;;0;6,0
B8;24;1980-07-22 10:15:00;;;0;;0;;0;6,0
B8;24;1980-07-22 10:15:00;;;0;;0;;0;6,0
B8;24;1980-07-22 10:15:00;;;0;;0;;0;6,0
B8;25;1980-08-05 09:45:00;;;0;;0;;0;5,6
B8;25;1980-08-05 09:45:00;;;0;;0;;0;5,6
B8;25;1980-08-05 09:45:00;;;0;;0;;0;5,6
B8;25;1980-08-05 09:45:00;;;0;;0;;0;5,6
B8;25;1980-08-05 09:45:00;;;0;;0;;0;5,6
B8;25;1980-08-05 09:45:00;;;0;;0;;0;5,6
B8;25;1980-08-05 09:45:00;;;0;;0;;0;5,6
B8;25;1980-08-05 09:45:00;;;0;;0;;0;5,6
B8;25;1980-08-05 09:45:00;;;0;;0;;0;5,6
B8;25;1980-08-05 09:45:00;;;0;;0;;0;5,6
B8;25;1980-08-05 09:45:00;;;0;;0;;0;5,6
B8;25;1980-08-05 09:45:00;;;0;;0;;0;5,6
B8;26;1980-08-19 10:00:00;;;0;;0;;0;5,5
B8;26;1980-08-19 10:00:00;;;0;;0;;0;5,5
B8;26;1980-08-19 10:00:00;;;0;;0;;0;5,5
B8;26;1980-08-19 10:00:00;;;0;;0;;0;5,5
B8;26;1980-08-19 10:00:00;;;0;;0;;0;5,5
B8;26;1980-08-19 10:00:00;;;0;;0;;0;5,5
B8;26;1980-08-19 10:00:00;;;0;;0;;0;5,5
B8;26;1980-08-19 10:00:00;;;0;;0;;0;5,5
B8;26;1980-08-19 10:00:00;;;0;;0;;0;5,5
B8;26;1980-08-19 10:00:00;;;0;;0;;0;5,5
B8;26;1980-08-19 10:00:00;;;0;;0;;0;5,5
B8;26;1980-08-19 10:00:00;;;0;;0;;0;5,5
B8;27;1980-09-02 10:15:00;;;0;;0;;0;5,0
B8;27;1980-09-02 10:15:00;;;0;;0;;0;5,0
B8;27;1980-09-02 10:15:00;;;0;;0;;0;5,0
B8;27;1980-09-02 10:15:00;;;0;;0;;0;5,0
B8;27;1980-09-02 10:15:00;;;0;;0;;0;5,0
B8;27;1980-09-02 10:15:00;;;0;;0;;0;5,0
B8;27;1980-09-02 10:15:00;;;0;;0;;0;5,0
B8;27;1980-09-02 10:15:00;;;0;;0;;0;5,0
B8;27;1980-09-02 10:15:00;;;0;;0;;0;5,0
